provider_id,vendor,asn,cidr,start_ip,end_ip,org,scope,status
aeza-group,Aeza Group,AS210644,89.208.103.0/24,89.208.103.0,89.208.107.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,89.208.104.0/22,89.208.103.0,89.208.107.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,89.208.113.0/24,89.208.113.0,89.208.113.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,89.208.142.0/24,89.208.142.0,89.208.142.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,89.208.96.0/23,89.208.96.0,89.208.97.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,89.22.224.0/20,89.22.224.0,89.22.239.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,91.103.140.0/24,91.103.140.0,91.103.140.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,91.108.240.0/23,91.108.240.0,91.108.242.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,91.108.242.0/24,91.108.240.0,91.108.242.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,91.184.240.0/22,91.184.240.0,91.184.243.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,92.246.136.0/22,92.246.136.0,92.246.139.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,95.163.152.0/23,95.163.152.0,95.163.153.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,95.163.176.0/24,95.163.176.0,95.163.176.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,95.181.160.0/24,95.181.160.0,95.181.160.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,95.181.162.0/24,95.181.162.0,95.181.162.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,95.181.167.0/24,95.181.167.0,95.181.167.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,95.181.173.0/24,95.181.173.0,95.181.175.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,95.181.174.0/23,95.181.173.0,95.181.175.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
bitlaunch,BitLaunch,AS399629,149.248.76.0/22,149.248.76.0,149.248.79.255,BL Networks,provider_allocated,candidate
bitlaunch,BitLaunch,AS399629,162.252.198.0/23,162.252.198.0,162.252.199.255,BL Networks,provider_allocated,candidate
bitlaunch,BitLaunch,AS399629,162.33.176.0/22,162.33.176.0,162.33.179.255,BL Networks,provider_allocated,candidate
bitlaunch,BitLaunch,AS399629,168.100.8.0/22,168.100.8.0,168.100.11.255,BL Networks,provider_allocated,candidate
bitlaunch,BitLaunch,AS399629,172.86.75.0/24,172.86.75.0,172.86.75.255,BL Networks,provider_allocated,candidate
bitlaunch,BitLaunch,AS399629,192.153.57.0/24,192.153.57.0,192.153.57.255,BL Networks,provider_allocated,candidate
bitlaunch,BitLaunch,AS399629,193.149.129.0/24,193.149.129.0,193.149.129.255,BL Networks,provider_allocated,candidate
bitlaunch,BitLaunch,AS399629,193.149.176.0/24,193.149.176.0,193.149.176.255,BL Networks,provider_allocated,candidate
bitlaunch,BitLaunch,AS399629,193.149.180.0/24,193.149.180.0,193.149.180.255,BL Networks,provider_allocated,candidate
bitlaunch,BitLaunch,AS399629,193.149.185.0/24,193.149.185.0,193.149.185.255,BL Networks,provider_allocated,candidate
bitlaunch,BitLaunch,AS399629,193.149.187.0/24,193.149.187.0,193.149.187.255,BL Networks,provider_allocated,candidate
bitlaunch,BitLaunch,AS399629,193.149.189.0/24,193.149.189.0,193.149.190.255,BL Networks,provider_allocated,candidate
bitlaunch,BitLaunch,AS399629,193.149.190.0/24,193.149.189.0,193.149.190.255,BL Networks,provider_allocated,candidate
bitlaunch,BitLaunch,AS399629,195.85.114.0/23,195.85.114.0,195.85.115.255,BL Networks,provider_allocated,candidate
bitlaunch,BitLaunch,AS399629,198.13.158.0/23,198.13.158.0,198.13.159.255,BL Networks,provider_allocated,candidate
bitlaunch,BitLaunch,AS399629,199.217.98.0/23,199.217.98.0,199.217.99.255,BL Networks,provider_allocated,candidate
bitlaunch,BitLaunch,AS399629,199.91.220.0/23,199.91.220.0,199.91.221.255,BL Networks,provider_allocated,candidate
bitlaunch,BitLaunch,AS399629,206.166.251.0/24,206.166.251.0,206.166.251.255,BL Networks,provider_allocated,candidate
bitlaunch,BitLaunch,AS399629,206.188.196.0/23,206.188.196.0,206.188.197.255,BL Networks,provider_allocated,candidate
bitlaunch,BitLaunch,AS399629,206.71.148.0/23,206.71.148.0,206.71.149.255,BL Networks,provider_allocated,candidate
bitlaunch,BitLaunch,AS399629,216.203.20.0/23,216.203.20.0,216.203.21.255,BL Networks,provider_allocated,candidate
bitlaunch,BitLaunch,AS399629,216.245.184.0/24,216.245.184.0,216.245.184.255,BL Networks,provider_allocated,candidate
bitlaunch,BitLaunch,AS399629,45.61.136.0/22,45.61.136.0,45.61.139.255,BL Networks,provider_allocated,candidate
bitlaunch,BitLaunch,AS399629,64.111.92.0/23,64.111.92.0,64.111.93.255,BL Networks,provider_allocated,candidate
bitlaunch,BitLaunch,AS399629,64.190.113.0/24,64.190.113.0,64.190.113.255,BL Networks,provider_allocated,candidate
bitlaunch,BitLaunch,AS399629,64.52.80.0/24,64.52.80.0,64.52.80.255,BL Networks,provider_allocated,candidate
bitlaunch,BitLaunch,AS399629,64.7.198.0/23,64.7.198.0,64.7.199.255,BL Networks,provider_allocated,candidate
bitlaunch,BitLaunch,AS399629,64.94.84.0/23,64.94.84.0,64.94.85.255,BL Networks,provider_allocated,candidate
bitlaunch,BitLaunch,AS399629,64.95.10.0/23,64.95.10.0,64.95.13.255,BL Networks,provider_allocated,candidate
bitlaunch,BitLaunch,AS399629,64.95.12.0/23,64.95.10.0,64.95.13.255,BL Networks,provider_allocated,candidate
bitlaunch,BitLaunch,AS399629,65.38.120.0/23,65.38.120.0,65.38.121.255,BL Networks,provider_allocated,candidate
bitlaunch,BitLaunch,AS399629,66.179.30.0/23,66.179.30.0,66.179.31.255,BL Networks,provider_allocated,candidate
bitlaunch,BitLaunch,AS399629,67.217.228.0/24,67.217.228.0,67.217.228.255,BL Networks,provider_allocated,candidate
bitlaunch,BitLaunch,AS399629,69.48.228.0/23,69.48.228.0,69.48.229.255,BL Networks,provider_allocated,candidate
bitlaunch,BitLaunch,AS399629,69.67.172.0/23,69.67.172.0,69.67.173.255,BL Networks,provider_allocated,candidate
bitlaunch,BitLaunch,AS399629,72.5.42.0/23,72.5.42.0,72.5.43.255,BL Networks,provider_allocated,candidate
bitlaunch,BitLaunch,AS399629,96.9.124.0/23,96.9.124.0,96.9.125.255,BL Networks,provider_allocated,candidate
black-host,Black.host,AS12989,168.222.184.0/23,168.222.184.0,168.222.186.255,Black HOST Ltd,provider_allocated,candidate
black-host,Black.host,AS12989,168.222.186.0/24,168.222.184.0,168.222.186.255,Black HOST Ltd,provider_allocated,candidate
black-host,Black.host,AS12989,185.104.2.0/24,185.104.2.0,185.104.2.255,Black HOST Ltd,provider_allocated,candidate
black-host,Black.host,AS12989,185.142.236.0/24,185.142.236.0,185.142.236.255,Black HOST Ltd,provider_allocated,candidate
black-host,Black.host,AS12989,185.142.238.0/23,185.142.238.0,185.142.239.255,Black HOST Ltd,provider_allocated,candidate
black-host,Black.host,AS12989,194.54.180.0/23,194.54.180.0,194.54.182.255,Black HOST Ltd,provider_allocated,candidate
black-host,Black.host,AS12989,194.54.182.0/24,194.54.180.0,194.54.182.255,Black HOST Ltd,provider_allocated,candidate
black-host,Black.host,AS12989,212.104.140.0/23,212.104.140.0,212.104.141.255,Black HOST Ltd,provider_allocated,candidate
black-host,Black.host,AS12989,213.254.179.0/24,213.254.179.0,213.254.179.255,Black HOST Ltd,provider_allocated,candidate
black-host,Black.host,AS12989,45.12.60.0/24,45.12.60.0,45.12.60.255,Black HOST Ltd,provider_allocated,candidate
black-host,Black.host,AS12989,86.54.28.0/22,86.54.28.0,86.54.31.255,Black HOST Ltd,provider_allocated,candidate
cherryservers,CherryServers,AS16125,163.5.176.0/24,163.5.176.0,163.5.176.255,UAB Cherry Servers,provider_allocated,candidate
cherryservers,CherryServers,AS16125,185.150.116.0/22,185.150.116.0,185.150.119.255,UAB Cherry Servers,provider_allocated,candidate
